Arttırılabilir Azami Bellek:,Bağlantı Girişleri:,Bağlantılar:,Cihaz Ağırlığı:,Dokunmatik Ekran:,Ekran Boyutu:,Ekran Kartı Bellek Tipi:,Ekran Kartı Hafızası:,Ekran Kartı Tipi:,Ekran Kartı:,Ekran Özelliği:,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,İşlemci Frekansı:,İşlemci Hızı (GHz):,İşlemci Modeli:,İşlemci Nesli:,İşlemci Tipi:,İşlemci Çekirdek Sayısı:,İşletim Sistemi:,Şarjlı Kullanım Süresi:,url,price
,,,,,"15,6 inç",,2 GB,Harici,Nvidia GeForce MX130,,,,,,1 TB,Q Türkçe,Oyun,Yok,,,8 GB,Gri,128 GB,,,,,,10510U,10. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//hp/15-da2016nt-intel-core-i7-10510u-8gb-1tb-128gb-ssd-mx130-freedos-15-6-fhd-9cp02ea-p-40125064,"8.289,47 TL"
,,,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/e14-20ra003wtx-i5-10210u-8gb-256ssd-14-w10pro-ips-fhd-p-41700208,"8.642,30 TL"
32 GB,,HDMI,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,HD Ready,Var,,Yok,Q Türkçe,Oyun,Yok,,,8 GB,Siyah,256 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,3 - 4,10300H,10. Nesil,Intel Core i5,4,Free Dos,4 - 6 Saat,https://www.trendyol.com//msi/gl65-leopard-10scxr-061xtr-intel-core-i5-10300h-8gb-256gb-ssd-gtx1650-freedos-15-6-fhd-p-46197348,9.999 TL
,,Bluetooth,2 - 4 kg,Yok,"15,6 inç",DDR3,1 GB,Harici,Paylaşımlı,Full HD,Distribütör Garantili,,Var,,Yok,Numerik Tuşlu,Ev - Okul,DVD Yazıcı,,,4 GB,Siyah,256 GB,,,1920 x 1080,,,4310M,4. Nesil,Intel Core i5,2,Windows,,https://www.trendyol.com//toshiba/toshiba-tecra-a50-a-1fp-core-i5-4310m-vpro-12gb-256gb-ssd-gt730m-15-6-inc-win7-8-10-pro-p-33412330,8.698 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel Iris Graphics,Full HD,Distribütör Garantili,,Var,,1 TB,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,256 GB,,,1920 x 1080,,,1065G7,10. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//lenovo/thinkpad-15-iml-intel-core-i7-1065g7-16gb-1tb-256gb-ssd-freedos-15-6-fhd-20sm003atx5-p-65343461,9.669 TL
,,,2 kg ve Altı,Yok,"17,3 inç",DDR4,4 GB ve altı,Yüksek Seviye Harici Ekran Kartı,Nvidia Quadro T2000,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,DVD Yazıcı,,,64 GB,Gri,1 TB,,,1920 x 1080,,,9750H,9. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/thinkpad-20qr002atx06-p73-i7-9750h-64gb-1tb-1tb-ssd-windows-10-pro-t2000-17-3-fhd-nb-p-63128761,26.849 TL
,,,2 kg ve Altı,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,256 GB,Q Türkçe,Ofis - İş,Yok,,,20 GB,Gri,256 GB,,,1920 x 1080,,,3500U,Ryzen,AMD Ryzen 5,2,Windows,,https://www.trendyol.com//asus/d509da-ej181a11-amd-ryzen-5-3500u-20gb-256gb-ssd-w10-home-15-6-fhd-p-63016981,"8.206,13 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,2 GB,Harici,Nvidia GeForce MX330,Full HD,Distribütör Garantili,,,,512 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Siyah,512 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//msi/modern-15-a10rbs-459xtr-i5-10210u-8gb-512ssd-ddr4-mx350-2gb-15-6-fhd-dos-siyah-dizustu-bilgisayar-p-62493421,"9.999,99 TL"
,,,2 - 4 kg,Yok,14 inç,SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,16 GB,Gri,256 GB,,,1920 x 1080,,,8365U,10. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//hp/probook-640-g5-6zv59aw03-i5-8365u-16gb-256ssd-14-w10pro-fullhd-tasinabilir-bilgisayar-p-49538079,8.649 TL
8 GB,,Bluetooth,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Paylaşımlı,HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ev - Okul,Yok,,TN,4 GB,Siyah,128 GB,,HD Ready (HD),1366 x 768,,,9225,8. Nesil,AMD A6,2,Windows,4 - 6 Saat,https://www.trendyol.com//lenovo/s145-amd-a6-9225-2-6ghz-4g-128g-ssd-15-6-w10-81n300dstx-p-33966973,5.239 TL
16 GB,,,2 kg ve Altı,,,DDR4,,Dahili,Intel UHD Graphics 620,,Distribütör Garantili,,,,2 TB,Aydınlatmalı,Ofis - İş,,,,16 GB,Beyaz,1 TB,,Full HD (FHD),1920 x 1080,,,8550U,8. Nesil,Intel Core i7,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//toshiba/portege-x20w-e-15f-p-39814390,17.850 TL
,,,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,AMD,HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,512 GB,,,1366 x 768,,,3250U,Ryzen,AMD Ryzen 3,2,Free Dos,,https://www.trendyol.com//lenovo/ideapad-3-amd-ryzen-3-3250u-8gb-512gb-ssd-freedos-14-tasinabilir-bilgisayar-81w00057tx4-p-56657027,5.899 TL
,,HDMI,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Dahili Ekran Kartı,Full HD,Distribütör Garantili,HD Ready,,,1 GB,Numerik Tuşlar Yok,Ofis - İş,Yok,,TN,8 GB,,256 GB,,Full HD (FHD),1920 x 1080,,43497,3500U,Ryzen,AMD Ryzen 5,4,Windows,3 Saat ve Altı,https://www.trendyol.com//lenovo/t495s-20qj000jtx-ryzen-5-pro-3500u-8gb-256gb-ssd-14-windows-10-pro-p-41094054,8.499 TL
,,,2 - 4 kg,,"15,6 inç",,,,Paylaşımlı,,Distribütör Garantili,,,,,,Ev - Okul,,,,16 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,,,,,Intel Core i7,,Windows,,https://www.trendyol.com//toshiba/toshiba-tecra-workstation-w50-a-118-core-i7-4810mq-vpro-16gb-512gb-ssd-k2100m-p-33413814,14.499 TL
,,Bluetooth,2 - 4 kg,Var,14 inç,GDDR5,2 GB,Harici,Paylaşımlı,Full HD,Distribütör Garantili,,Var,,1 TB,Q Türkçe,Ev - Okul,Yok,,IPS,16 GB,Siyah,1 TB,,Full HD (FHD),1920 x 1080,,1 - 2,8665U,8. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/thinkpad-p43s-20rh003vtx01-mws-i7-8665u-16-gb-1-tb-ssd-windows-10-pro-tasinabilir-bilgisayar-p-37577378,16.529 TL
16 GB,,HDMI,2 kg ve Altı,Yok,14 inç,DDR5,Paylaşımlı,Dahili,Intel HD Graphics 620,Full HD,Distribütör Garantili,HD Ready,Var,,512 GB,Q Türkçe,Ofis - İş,Yok,,IPS,8 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,1 - 2,8265U,8. Nesil,Intel Core i5,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//acer/tmx514-intel-core-i5-8265u-8gb-512gb-ssd-freedos-14-fhd-0-98-kg-p-62452618,7.250 TL
32 GB,,,4 kg ve Üstü,,"17,3 inç",DDR4,8 GB,,Nvidia GeForce RTX 2080,,Distribütör Garantili,,,,1 TB,Numerik Tuşlu,Oyun,,,,64 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,,,,,Intel Core i9,8,Windows,3 Saat ve Altı,https://www.trendyol.com//msi/ge75-raider-10sgs-202tr-intel-core-i9-10980hk-64gb-1tb-512gb-ssd-8gb-rtx2080-super-17-3-240hz-w10-p-38872905,37.709 TL
32 GB,,Bluetooth,2 - 4 kg,Yok,14 inç,DDR3,Paylaşımlı,Dahili,Intel HD Graphics,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,IPS,16 GB,Gri,256 GB,,Full HD (FHD),1920 x 1080,,1 - 2,10210U,10. Nesil,Intel Core i5,2,Windows,4 - 6 Saat,https://www.trendyol.com//lenovo/e14-intel-i5-10210u-16gb-256ssd-windows-10-pro-20ras04c00t2-dizustu-bilgisayar-p-41998814,"7.999,99 TL"
,HDMI,HDMI,2 - 4 kg,Yok,"15,6 inç",DDR4,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,Yok,,IPS,8 GB,,240 GB,,Full HD (FHD),1920 x 1080,,4 +,9300H,9. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//casper/excalibur-g770-9300-8dh0f-15-6-intel-core-i5-9300h-8gb-ram-240gb-ssd-4gb-gtx-1650-w10-home-p-35409437,"9.199,89 TL"
32 GB,,HDMI,2 - 4 kg,Var,"17,3 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,4K Ultra HD,Distribütör Garantili,,,,Yok,Numerik Tuşlar Yok,Oyun,Yok,,,16 GB,Siyah,1 TB,,,3840 x 2160,,43497,10750H,10. Nesil,Intel Core i7,6,Windows,3 Saat ve Altı,https://www.trendyol.com//dell/xps-17-9700-uts750wp161n-i7-10750h-16gb-1tb-ssd-4gb-gtx1650ti-4k-touch-17-windows-10-pro-p-50599095,27.499 TL
,,,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,AMD,HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,512 GB,,,1366 x 768,,,3250U,Ryzen,AMD Ryzen 3,2,Windows,,https://www.trendyol.com//lenovo/ideapad-3-amd-ryzen-3-3250u-8gb-512gb-ssd-w10-home-14-tasinabilir-bilgisayar-81w00057tx10-p-56657126,6.199 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,4 GB,Harici,Nvidia GeForce GTX 1050,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,256 GB,,,1920 x 1080,,,10300H,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-81y400d9tx03-i5-10300h-16gb-256ssd-4gb-15-6-fullhd-freedos-p-63104215,8.649 TL
,,,2 kg ve Altı,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,AMD Radeon Vega 10,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,20 GB,Gri,256 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Windows,,https://www.trendyol.com//lenovo/ideapad-s145-15api-amd-ryzen-7-3700u-20gb-256gb-ssd-w10-pro-15-6-fhd-81ut001atxa42-p-62269968,"9.107,26 TL"
,,USB,2 kg ve Altı,Var,14 inç,DDR3,Paylaşımsız,Dahili,Intel Iris Plus Graphics 645,HD,Distribütör Garantili,,Var,,256 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Beyaz,256 GB,,,1920 x 1080,,,8210Y,8. Nesil,Intel Core i5,2,Windows,,https://www.trendyol.com//acer/swift-7-sf714-52t-588j-nx-hb4ey-003-dizustu-bilgisayar-p-48099385,8.149 TL
,,,2 kg ve Altı,Yok,"15,6 inç",DDR5,Paylaşımlı,Dahili,Dahili Ekran Kartı,Full HD,Distribütör Garantili,,Var,,128 GB,Q Türkçe,Ofis - İş,Yok,,,4 GB,Siyah,128 GB,,,1920 x 1080,,,5200U,5. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//hometech/alfa-550i-sifir-i5-5257-4gb-128gb-ssd-freedos-15-6-fhd-dizustu-bilgisayar-p-61608553,4.650 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/d509dj-ej119-amd-ryzen-7-3700u-8g-512gb-ssd-mx230-2gb-fhd-15-6-fhd-freedos-p-39195064,7.649 TL
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,AMD,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,512 GB,,,1920 x 1080,,,3250U,3. Nesil,AMD,2,Windows,,https://www.trendyol.com//lenovo/v15-ada-amd-3020e-8gb-512gb-ssd-w10home-15-6-fhd-tasinabilir-bilgisayar-82c7008gtx16-p-56872961,6.099 TL
,,,2 - 4 kg,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Intel HD Graphics,HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Siyah,Yok,,,1920 x 1080,,,10210U,1. Nesil,Intel Core i5,1,Windows,,https://www.trendyol.com//dell/latitude-3410-n005l341014emea_u-i5-10210u-8gb-1tb-14-0-ubuntu-p-62259208,6.199 TL
,,HDMI,2 - 4 kg,Yok,"15,6 inç",DDR2 + DDR3,Paylaşımlı,Dahili,Intel HD Graphics,Full HD,Distribütör Garantili,HD Ready,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,IPS,8 GB,Gri,512 GB,,Full HD (FHD),1920 x 1080,,1 - 2,4300U,4. Nesil,AMD Ryzen 7,8,Free Dos,4 - 6 Saat,https://www.trendyol.com//lenovo/20t8001utx-r7-4700u-8g-512g-15-6-dos-p-50621207,8.469 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel HD Graphics,HD,Distribütör Garantili,,Var,,1 TB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1366 x 768,,,7020U,7. Nesil,Intel Core i3,2,Windows,,https://www.trendyol.com//lenovo/ideapad-s145-15ikb-intel-core-i3-7020u-8gb-1tb-256gb-ssd-w10home-15-6-81vd00e7tx13-p-64897740,6.999 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel HD Graphics,HD,Distribütör Garantili,,Var,,1 TB,Q Türkçe,Ofis - İş,Yok,,,4 GB,Gri,256 GB,,,1366 x 768,,,7020U,7. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//lenovo/ideapad-s145-15ikb-intel-core-i3-7020u-4gb-1tb-256gb-ssd-freedos-15-6-81vd00e7tx4-p-64883594,6.399 TL
,,,2 kg ve Altı,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,512 GB,,,1366 x 768,,,10110U,10. Nesil,Intel Core i3,2,Windows,,https://www.trendyol.com//hp/15-da2044nt-1e0s2ea04-i3-10110u-8gb-512ssd-15-6-w10h-hd-tasinabilir-bilgisayar-p-62327436,6.549 TL
8 GB,,HDMI,2 - 4 kg,Var,"13,3 inç",DDR5,32 GB,Harici,Intel HD Graphics,QHD,İthalatçı Garantili,HD Ready,Var,5 TB,8 GB,Numerik Tuşlar Yok,Ofis - İş,Yok,DVD Yazıcı,IPS,24 GB,Siyah,512 GB,,HD Ready (HD),4096 x 2160,3.00 GHz üstü,3 - 4,5200U,4. Nesil,Intel Core i5,4,Free Dos,4 - 6 Saat,https://www.trendyol.com//lenova/l13-yoga-13-3-touch-i5-10210u-8gb-512gb-ssd-fdos-kalemli-siyah-p-43301539,9.299 TL
,,Bluetooth,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX110,HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ev - Okul,Yok,,TN,8 GB,Gri,512 GB,,HD Ready (HD),1366 x 768,3.00 GHz üstü,4 +,10210U,10. Nesil,Intel Core i5,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/15-da2086nt-intel-core-i5-10210u-8gb-512gb-ssd-2gb-mx110-15-6-freedos-1s7y7ea-p-48338523,6.599 TL
,,,2 kg ve Altı,,"11,6 inç",DDR3,,Dahili,Intel HD Graphics,,Distribütör Garantili,,,,32 GB,Q Türkçe,Ofis - İş,,,,2 GB,Gri,,,Full HD (FHD),1920 x 1080,,,,,Intel Atom,,Windows,6 Saat ve Üstü,https://www.trendyol.com//ixtech/ixtech-thinbook-intel-atom-2gb-32gb-emmc-windows-10-home-11-6-fhd-dizustu-bilgisayar-p-52199305,2.199 TL
,,,2 kg ve Altı,Yok,"17,3 inç",DDR4,4 GB ve altı,Yüksek Seviye Harici Ekran Kartı,Nvidia Quadro T2000,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,DVD Yazıcı,,,128 GB,Gri,1 TB,,,1920 x 1080,,,9750H,9. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/thinkpad-20qr002atx07-p73-i7-9750h-128gb-1tb-1tb-ssd-windows-10-pro-t2000-17-3-fhd-nb-p-65073746,29.099 TL
,HDMI,Bluetooth,2 - 4 kg,Yok,"15,6 inç",GDDR6,8 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2070,Full HD,Casper Türkiye Garantili,,Var,,1 TB,Q Türkçe,Oyun,Yok,,IPS,32 GB,,1 TB,,Full HD (FHD),1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Free Dos,,https://www.trendyol.com//casper/excalibur-g900-1075-d770x-b-intel-10-nesil-i7-10750h-32gb-ram-1tb-1tb-ssd-6gb-rtx2070-dos-p-62803241,16.779 TL
,,,2 kg ve Altı,Yok,"13,3 inç",DDR2,3 GB,Yüksek Seviye Harici Ekran Kartı,AMD Radeon 620,Full HD,Distribütör Garantili,,,,2 GB,F Klavye,Ofis - İş,DVD Super Multi,,,1 GB,Beyaz,250 GB,,,1366 x 768,,,2430M,5. Nesil,AMD,8,Free Dos,,https://www.trendyol.com//exa/elite-5tc2-i5-10210u-1x8gb-512gb-14-dos-1-1kg-p-46234755,"7.443,91 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",SD,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,20 GB,Gri,1 TB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 9,4,Free Dos,,https://www.trendyol.com//asus/d509dj-ej119a8-ryzen7-3700u-20gb-1tbssd-mx230-15-6-fhd-freedos-tasinabilir-bilgisayar-p-63799546,8.349 TL
,,Bluetooth,2 - 4 kg,Yok,14 inç,DDR4,2 GB,Harici,Nvidia GeForce MX330,Full HD,Distribütör Garantili,,Var,,8 GB,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,256 GB,,Full HD (FHD),1920 x 1080,,,1065G7,10. Nesil,Intel Core i7,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//lenovo/82c4015qtx-v14-iil-i7-1065g7-8gb-256gb-ssd-mx350-14-fhd-fdos-dizustu-bilgisayar-p-55452968,7.770 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,Full HD,Distribütör Garantili,,,,512 GB,Q Türkçe,Oyun,Yok,,,8 GB,Gri,512 GB,,Full HD (FHD),1920 x 1080,,,10300H,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/81y400d9tx-core-i5-10300h-8gb-512gb-ssd-gtx1650ti-fdos-15-6-fhd-p-59095431,9.099 TL
32 GB,,,2 - 4 kg,,"15,6 inç",,8 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2070,,Distribütör Garantili,,,,1 TB,Q Türkçe,Oyun,,,IPS,32 GB,,1 TB,,,1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Windows,6 Saat ve Üstü,https://www.trendyol.com//casper/excalibur-g900-1075-d770a-intel-10-nesil-i7-1075-32gb-ram-1tb-1tb-ssd-8gb-rtx2070-w10-p-39573289,18.809 TL
,,USB,2 kg ve Altı,Yok,14 inç,DDR3,Paylaşımlı,Dahili,Dahili Ekran Kartı,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,4 +,10510U,10. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//asus/expertbook-b9450fa-bm0577r-intel-core-i7-10510u-16gb-512gb-ssd-windows-10-pro-14-inch-laptop-p-53632498,"14.154,99 TL"
,,HDMI,2 - 4 kg,Yok,"14,1 inç",DDR4,2 GB,Dahili,AMD Radeon RX 640,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,1 TB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Windows,3 Saat ve Altı,https://www.trendyol.com//lenovo/20ra005gtxc-e14-i5-1021u-8gb-1tb-rx640-w10pro-p-45911081,11.299 TL
,,,2 - 4 kg,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Intel HD 620,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,DVD RW,,,4 GB,Siyah,Yok,,Full HD (FHD),1920 x 1080,,,1005G1,10. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//hp/250-g7-intel-core-i3-1005g1-4gb-1tb-freedos-15-6-197p6ea-p-63673524,4.599 TL
,,,2 - 4 kg,Yok,"17,3 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,Yok,,,16 GB,Siyah,500 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g780-1030-8vj0x-b-i5-10300h-8gb-500gb-nvme-ssd-gtx1650ti-freedos-16-6-fhd-notebook-p-59014392,"12.360,50 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,256 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,3250U,Ryzen,AMD Ryzen 3,2,Windows,,https://www.trendyol.com//asus/d509da3-ej887a3-amd-ryzen-3-3250u-8gb-256gb-ssd-w10-home-15-6-fhd-p-58703006,"6.019,99 TL"
,,,2 kg ve Altı,Yok,14 inç,GDDR5,4 GB,Harici,AMD Radeon 530,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gümüş,512 GB,,,1920 x 1080,,,10510U,10. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//hp/14-cf2016nt-222y5ea-intel-i7-10510u-16gb-512gb-ssd-4gb-14-fd-p-48889161,8.399 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX110,Full HD,Distribütör Garantili,,Var,500 GB,512 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gümüş,512 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//hp/15-da2088nt-1s7y9ea-intel-core-i5-10210u-8gb-ram-512gb-ssd-freedos-15-6-inc-laptop-notebook-p-65474332,7.599 TL
32 GB,,USB,2 - 4 kg,Yok,"15,4 inç",DDR4,1 GB,Dahili,Intel HD Graphics 4600,Full HD,İthalatçı Garantili,,Var,,256 GB,Q Türkçe,Ofis - İş,DVD Yazıcı,,,8 GB,Gümüş,256 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,2 - 3,1005G1,10. Nesil,Intel Core 10.Nesil,4,Free Dos,3 Saat ve Altı,https://www.trendyol.com//hp/250-g7-i3-1005g1-15-6-8gb-256gb-ssd-freedos-197s3ea-p-48551873,5.999 TL
,,Bluetooth,2 kg ve Altı,Var,"13,3 inç",DDR3,Paylaşımlı,Dahili,Dahili Ekran Kartı,4K Ultra HD,Distribütör Garantili,,Yok,,Yok,Q Türkçe,Oyun,DVD Yazıcı,,IPS,16 GB,Siyah,512 GB,,,3840 x 2160,,,10510U,10. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//dell/xps13-7390-uts510wp165n-core-i7-10510u-16gb-512gb-ssd-13-3-touch-w10p-p-32356230,16.099 TL
,,,2 kg ve Altı,Var,"13,3 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,32 GB,Siyah,512 GB,,,1920 x 1080,,,10510U,10. Nesil,Intel Core i7,8,Windows,,https://www.trendyol.com//lenovo/thinkbook-plus-20tg005rtx02-i7-10510u-32gb-512ssd-13-3-fhd-w10p-tasinabilir-bilgisayar-p-48456884,12.149 TL
,,,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gümüş,512 GB,,,1920 x 1080,,,1065G7,10. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//hp/2d194ea-340s-g7-i7-1065g7-8gb-512gb-ssd-14-freedos-full-hd-p-50593528,"7.951,93 TL"
,,Bluetooth,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,,Var,,16 GB,Q Türkçe,Oyun,Yok,,IPS,16 GB,Siyah,512 GB,,,1920 x 1080,,,10750H,10. Nesil,AMD Ryzen 5,6,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//lenovo/82b500cktx-legion-5-15arh05-ryzen-5-16gb-512gb-ssd-gtx1650-15-6-fdos-p-47455020,11.499 TL
,,,2 kg ve Altı,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Beyaz,256 GB,,,1920 x 1080,,,10110U,10. Nesil,Intel Core i3,4,Windows,,https://www.trendyol.com//hp/15-da2095nt-1s7z6ea09-i3-10110u-4gb-256ssd-15-6-freedos-fhd-tasinabilir-bilgisayar-p-62809063,5.499 TL
